name;quantity;unit_price;total_amount;net_weight_kg;gross_weight_kg;notes
DIN471  65Mn Black 40*3;15000;0,042391;;;;
DIN471  65Mn Black 55*2.0;20000;0,039127;;;;
DIN471  65Mn Black 100*3.0;1000;0,125463;;;;
DIN471  65Mn Black 110*4.0;500;0,228913;;;;
DIN471  65Mn Black 165*4.0;100;0,438043;;;;
DIN472  65Mn Black 80*2.5;50000;0,075568;;;;
DIN472  65Mn Black 90*3.0;20000;0,095;;;;
DIN471  SS420 Plain 20;10000;0,019286;;;;
DIN471  SS420 Plain 22;2000;0,019286;;;;
DIN471  SS420 Plain 25;6000;0,025071;;;;
DIN471  SS420 Plain 42;2000;0,073214;;;;
DIN471  SS420 Plain 52;2000;0,114286;;;;
DIN471  SS420 Plain 58;400;0,130357;;;;
DIN471  SS420 Plain 63;500;0,139286;;;;
DIN471  SS420 Plain 67;500;0,178;;;;
DIN471  SS420 Plain 80;500;0,267857;;;;
DIN472  SS420 Plain 15*1.0;4000;0,01114;;;;
DIN472  SS420 Plain 17*1.0;4000;0,012;;;;
DIN472  SS420 Plain 20*1.0;10000;0,02057;;;;
DIN472  SS420 Plain 23*1.2;2000;0,02199;;;;
DIN472  SS420 Plain 28*1.2;2000;0,027;;;;
DIN472  SS420 Plain 36*1.5;2000;0,04643;;;;
DIN472  SS420 Plain 45*1.75;2000;0,075;;;;
DIN472  SS420 Plain 48*1.75;1000;0,0875;;;;
DIN472  SS420 Plain 55*2;700;0,11071;;;;
DIN472  SS420 Plain 60*2;1000;0,11786;;;;
DIN472  SS420 Plain 65*2.5;1000;0,16071;;;;
DIN472  SS420 Plain 67*2.5;500;0,17143;;;;
DIN472  SS420 Plain 68*2.5;500;0,17143;;;;
DIN472  SS420 Plain 72*2.5;750;0,2;;;;
DIN472  SS420 Plain 80*2.5;750;0,24286;;;;
DIN471  65Mn Black 35*2,5;10000;0,033207;;;;
DIN471  65Mn Black 40*1.75;20000;0,023315;;;;
DIN471  65Mn Black 42*1.75;10000;0,025435;;;;
DIN471  65Mn Black 70*2.50;5000;0,066691;;;;
DIN471  65Mn Black 110*4.0;1000;0,228913;;;;
DIN471  65Mn Black 120*4;1000;0,254348;;;;
DIN471  65Mn Black 190*4.0;50;0,536957;;;;
DIN472  65Mn Black 15*1.0;100000;0,002987;;;;
DIN472  65Mn Black 20*1.0;30000;0,004804;;;;
DIN472  65Mn Black 25*1.2;10000;0,007287;;;;
DIN472  65Mn Black 32*1.2;50000;0,010315;;;;
DIN472  65Mn Black 38*1.5;20000;0,01837;;;;
DIN472  65Mn Black 46*1.75;10000;0,025967;;;;
DIN472  65Mn Black 52*2;20000;0,03136;;;;
DIN472  65Mn Black 68*2.5;10000;0,054968;;;;
DIN472  65Mn Black 75*2.5;5000;0,06376;;;;
DIN472  65Mn Black 90*3.0;20000;0,095;;;;
DIN472  65Mn Black 95*3.0;1000;0,105782;;;;
DIN472  65Mn Black 105*4.0;3000;0,144653;;;;
DIN472  65Mn Black 112*4.0;500;0,175705;;;;
DIN472  65Mn Black 230*5.0;200;1,130435;;;;
DIN6799  65Mn Black 6799/02,3;100000;0,000776;;;;
DIN6799  65Mn Black 6799/06;100000;0,00141;;;;
DIN6799  65Mn Black 6799/08;50000;0,003242;;;;
DIN471  65Mn Black 19*1.2;20000;0,005795;;;;
DIN471  65Mn Black 27*1.2;5000;0,010315;;;;
DIN472  65Mn Black 125*4;6000;0,195764;;;;
DIN471  65Mn Black 40*2.5;5000;0,040696;;;;
DIN471  65Mn Black 12*1;500000;0,002897;;;;
DIN471  65Mn Black 15*1;50000;0,003815;;;;
DIN471  65Mn Black 32*1.5;20000;0,01319;;;;
DIN471  65Mn Black 40*1.75;30000;0,023315;;;;
DIN471  65Mn Black 52*2;10000;0,038718;;;;
DIN471  65Mn Black 70*2.5;5000;0,066691;;;;
DIN472  65Mn Black 25*1.2;25000;0,007287;;;;
DIN6799  65Mn Black 6799/04;100000;0,001001;;;;
