name;quantity;unit_price;total_amount;net_weight_kg;gross_weight_kg;notes
1206 C3;200;0,610 ;;;;
1308 C3;50;1,400 ;;;;
1309 C3;100;1,730 ;;;;
3207 A C3;200;1,780 ;;;;
3209 A C3;300;2,750 ;;;;
222;100;2,150 ;;;;
22212 CCKW33 C3;300;2,870 ;;;;
22213 CCKW33 C3;300;3,270 ;;;;
22214 CCW33 C3;100;3,440 ;;;;
22215 CCKW33 C3;150;3,630 ;;;;
22217 CCKW33 C3;100;5,280 ;;;;
22218 CCW33C3;200;6,220 ;;;;
22222 CCKW33C3;50;12,530 ;;;;
22311 CCW33 C3;50;4,780 ;;;;
22312 CCW33 C3;100;5,400 ;;;;
22313 CCKW33 C3;50;6,430 ;;;;
22314 CCW33C3;50;7,550 ;;;;
22328 CCW33 C3;5;55,250 ;;;;
30216;50;2,740 ;;;;
30218;60;3,700 ;;;;
31308;1000;1,460 ;;;;
32005 X;1000;0,350 ;;;;
32009 X;1000;0,730 ;;;;
32010 X;2000;0,840 ;;;;
32210;2000;1,020 ;;;;
32304;600;0,650 ;;;;
32310;500;2,640 ;;;;
33020;100;4,270 ;;;;
15123/15245;100;0,510 ;;;;
15585/15520;100;0,470 ;;;;
84548/84510;200;0,670 ;;;;
NJ 208 E C3;200;1,280 ;;;;
NU 2210 E C3;400;1,740 ;;;;
32210;2000;1,020 ;;;;
32213;1500;2,100 ;;;;
PFL 203;500;1,160 ;;;;
314;100;2,150 ;;;;
BBTG1603KRR50;500;1,570 ;;;;
