code;name;category;unit_price;description;notes;attr_name_1;attr_value_1;attr_unit_1;attr_type_1;attr_name_2;attr_value_2;attr_unit_2;attr_type_2;attr_name_3;attr_value_3;attr_unit_3;attr_type_3
RXB-WVB-8-350-Li-m;;Kayýþ;0,34600896;Standart kol;Parti A;Uzunluk;350;mm;number;Tipi;8;;text;Aðýrlýk;0,0147;kg;number
RXB-WVB-8-375-Li-m;;Kayýþ;0,34600896;Kapak seti;Kontrol;Uzunluk;375;mm;number;Tipi;8;;text;Aðýrlýk;0,01575;kg;number
RXB-WVB-8-400-Li-m;;Kayýþ;0,34600896;;;Uzunluk;400;mm;number;Tipi;8;;text;Aðýrlýk;0,0168;kg;number
RXB-WVB-8-425-Li-m;;Kayýþ;0,34600896;;;Uzunluk;425;mm;number;Tipi;8;;text;Aðýrlýk;0,01785;kg;number
RXB-WVB-8-450-Li-m;;Kayýþ;0,34600896;;;Uzunluk;450;mm;number;Tipi;8;;text;Aðýrlýk;0,0189;kg;number
RXB-WVB-8-475-Li-m;;Kayýþ;0,34600896;;;Uzunluk;475;mm;number;Tipi;8;;text;Aðýrlýk;0,01995;kg;number
RXB-WVB-8-500-Li-m;;Kayýþ;0,34600896;;;Uzunluk;500;mm;number;Tipi;8;;text;Aðýrlýk;0,021;kg;number
RXB-WVB-8-525-Li-m;;Kayýþ;0,34600896;;;Uzunluk;525;mm;number;Tipi;8;;text;Aðýrlýk;0,02205;kg;number
RXB-WVB-8-550-Li-m;;Kayýþ;0,34600896;;;Uzunluk;550;mm;number;Tipi;8;;text;Aðýrlýk;0,0231;kg;number
RXB-WVB-8-575-Li-m;;Kayýþ;0,34600896;;;Uzunluk;575;mm;number;Tipi;8;;text;Aðýrlýk;0,02415;kg;number
RXB-WVB-8-600-Li-m;;Kayýþ;0,34600896;;;Uzunluk;600;mm;number;Tipi;8;;text;Aðýrlýk;0,0252;kg;number
RXB-WVB-8-625-Li-m;;Kayýþ;0,34600896;;;Uzunluk;625;mm;number;Tipi;8;;text;Aðýrlýk;0,02625;kg;number
RXB-WVB-8-650-Li-m;;Kayýþ;0,34600896;;;Uzunluk;650;mm;number;Tipi;8;;text;Aðýrlýk;0,0273;kg;number
RXB-WVB-8-675-Li-m;;Kayýþ;0,34600896;;;Uzunluk;675;mm;number;Tipi;8;;text;Aðýrlýk;0,02835;kg;number
RXB-WVB-8-700-Li-m;;Kayýþ;0,34600896;;;Uzunluk;700;mm;number;Tipi;8;;text;Aðýrlýk;0,0294;kg;number
RXB-WVB-8-725-Li-m;;Kayýþ;0,34600896;;;Uzunluk;725;mm;number;Tipi;8;;text;Aðýrlýk;0,03045;kg;number
RXB-WVB-8-750-Li-m;;Kayýþ;0,34600896;;;Uzunluk;750;mm;number;Tipi;8;;text;Aðýrlýk;0,0315;kg;number
RXB-WVB-8-775-Li-m;;Kayýþ;0,351912;;;Uzunluk;775;mm;number;Tipi;8;;text;Aðýrlýk;0,03255;kg;number
RXB-WVB-8-800-Li-m;;Kayýþ;0,363264;;;Uzunluk;800;mm;number;Tipi;8;;text;Aðýrlýk;0,0336;kg;number
RXB-WVB-8-825-Li-m;;Kayýþ;0,374616;;;Uzunluk;825;mm;number;Tipi;8;;text;Aðýrlýk;0,03465;kg;number
RXB-WVB-8-850-Li-m;;Kayýþ;0,385968;;;Uzunluk;850;mm;number;Tipi;8;;text;Aðýrlýk;0,0357;kg;number
RXB-WVB-8-875-Li-m;;Kayýþ;0,39732;;;Uzunluk;875;mm;number;Tipi;8;;text;Aðýrlýk;0,03675;kg;number
